keyword,source_seed_group,avg_monthly_searches,competition,top_of_page_bid_low,top_of_page_bid_high,notes
kalamazoo sillas oficina,office,0,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio ordenador,office,50,中,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio amplio,office,500,高,1.56,19.81,review: requires page-role and SERP-intent filtering before use
mesa escritorio 200x80,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio esquinera,office,50,高,2.86,18.17,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas de escritorio easy,office,500,高,1.12,7.28,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas de escritorio grandes,office,50,高,3.04,37.13,review: requires page-role and SERP-intent filtering before use
silla escritorio ergonomica blanca,office,50,高,2.34,14.13,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio grande oficina,office,500,高,3.96,24.76,review: requires page-role and SERP-intent filtering before use
credenzas para oficina,office,500,高,15.49,82.61,review: requires page-role and SERP-intent filtering before use
sillas de oficina usadas,office,500,高,4.42,24.11,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla estudio ergonomica,office,50,高,2.00,28.09,review: requires page-role and SERP-intent filtering before use
muebles para escritorio,office,500,高,1.65,22.08,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
comifort sillas,office,0,未知,,,review: requires page-role and SERP-intent filtering before use
ruedas para sillas de escritorio,office,500,高,0.64,7.35,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
estanterias para oficina,office,500,高,5.44,45.95,review: requires page-role and SERP-intent filtering before use
silla confidente con brazos,office,50,低,,,review: requires page-role and SERP-intent filtering before use
escritorio de oficina precio,office,500,高,1.84,55.36,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla oficina tela,office,50,高,4.83,48.28,review: requires page-role and SERP-intent filtering before use
modulares para oficina,office,500,高,13.19,93.35,review: requires page-role and SERP-intent filtering before use
silla cajero alta,office,500,高,5.49,35.50,review: requires page-role and SERP-intent filtering before use
escritorio en l gamer,office,500,高,1.18,7.39,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla oficina oferta,office,500,高,1.49,16.66,review: requires page-role and SERP-intent filtering before use
ruedas para sillas,office,500,高,1.10,10.34,review: requires page-role and SERP-intent filtering before use
mesa juntas oficina,office,50,高,7.12,157.08,review: requires page-role and SERP-intent filtering before use
mesa escritorio con estanteria,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla de escritorio reclinable,office,500,高,1.88,14.80,review: requires page-role and SERP-intent filtering before use
mobiliario sala de espera,office,50,高,8.97,37.03,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mejor escritorio elevable,office,50,高,13.42,101.49,review: requires page-role and SERP-intent filtering before use
escritorios blancos con cajones,office,5000,高,1.61,13.49,review: requires page-role and SERP-intent filtering before use
silla de escritorio oferta,office,500,高,0.73,11.54,review: requires page-role and SERP-intent filtering before use
silla eames oficina,office,50,高,9.94,55.29,review: requires page-role and SERP-intent filtering before use
silla ergonomica gamer,office,5000,高,2.21,19.54,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla de escritorio gamer,office,500,高,1.16,8.78,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas coppel oficina,office,50,高,1.11,23.96,review: requires page-role and SERP-intent filtering before use
mesa oficina 140x80,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mueble oficina con llave,office,50,高,3.41,23.12,review: requires page-role and SERP-intent filtering before use
sillas para escritorio mercado libre,office,500,高,2.93,20.72,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla de escritorio gris,office,500,高,2.40,20.14,review: requires page-role and SERP-intent filtering before use
empresas de mobiliario de oficina,office,50,中,15.41,71.18,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
escritorio de vidrio templado,office,500,高,1.60,22.33,review: requires page-role and SERP-intent filtering before use
silla secretarial con descansabrazos,office,500,高,25.24,176.75,review: requires page-role and SERP-intent filtering before use
mesas de reuniones baratas,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas para visitas oficina,office,500,高,9.95,155.59,review: requires page-role and SERP-intent filtering before use
sillones para oficina modernos,office,500,高,4.32,33.57,review: requires page-role and SERP-intent filtering before use
sillas para salas de espera modernas,office,500,高,5.87,37.08,review: requires page-role and SERP-intent filtering before use
sillas de piel para oficina,office,500,高,9.93,102.98,review: requires page-role and SERP-intent filtering before use
sillas para sala de espera modernas,office,500,高,6.12,30.36,review: requires page-role and SERP-intent filtering before use
mesas de estudio baratas,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas mesa reuniones,office,50,高,9.97,26.77,review: requires page-role and SERP-intent filtering before use
silla oficina 200 kg,office,50,高,9.26,50.55,review: requires page-role and SERP-intent filtering before use
silla escritorio moderna,office,500,高,2.41,17.74,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio pequeño moderno,office,500,高,1.60,13.10,review: requires page-role and SERP-intent filtering before use
sofas de oficina,office,500,高,5.03,32.26,review: requires page-role and SERP-intent filtering before use
escritorio en l de madera,office,500,高,2.62,21.92,review: requires page-role and SERP-intent filtering before use
silla oficina madera,office,50,高,7.94,63.04,review: requires page-role and SERP-intent filtering before use
sillas de escritorio homecenter,office,5000,高,0.47,6.35,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio para home office,office,500,高,3.43,23.66,review: requires page-role and SERP-intent filtering before use
fabrica de escritorios,office,500,高,9.02,94.45,review: requires page-role and SERP-intent filtering before use
silla oficina profesional,office,50,高,10.18,36.81,review: requires page-role and SERP-intent filtering before use
muebles oficina online,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
silla escritorio tela,office,500,高,3.29,17.84,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
estanterias moviles para archivos,office,50,中,11.92,76.16,review: requires page-role and SERP-intent filtering before use
mobiliario para empresas,office,50,中,17.09,133.89,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
silla de escritorio beige,office,500,高,2.13,14.70,review: requires page-role and SERP-intent filtering before use
escritorio madera y metal,office,500,高,2.00,18.48,review: requires page-role and SERP-intent filtering before use
escritorio minimalista blanco,office,500,高,3.67,25.98,review: requires page-role and SERP-intent filtering before use
sillas con ruedas para escritorio,office,500,高,1.29,24.05,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mejor silla oficina calidad precio,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas para sala de espera economicas,office,500,高,6.72,30.41,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla ejecutiva 4tune,office,500,高,4.80,73.23,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio oficina grande,office,500,高,6.41,34.63,review: requires page-role and SERP-intent filtering before use
librero oficina,office,500,高,4.37,50.71,review: requires page-role and SERP-intent filtering before use
sillas oficina economicas,office,500,高,3.83,38.77,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla escritorio verde menta,office,50,高,1.90,18.09,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla ergonomica reclinable,office,500,高,3.20,18.94,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
homcom escritorio,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio juvenil,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
haworth sillas,office,500,高,7.03,56.32,review: requires page-role and SERP-intent filtering before use
silla songmics,office,50,高,3.55,33.54,review: requires page-role and SERP-intent filtering before use
archivero oficina,office,500,高,8.96,259.81,review: requires page-role and SERP-intent filtering before use
sillas giratorias para barra,office,500,高,1.31,13.82,review: requires page-role and SERP-intent filtering before use
sillas de oficina en oferta,office,500,高,2.07,26.84,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
armario de oficina con llave,office,50,高,2.57,15.33,review: requires page-role and SERP-intent filtering before use
silla escritorio marron,office,50,高,1.03,17.98,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
outlet muebles oficina,office,50,高,6.07,33.52,review: requires page-role and SERP-intent filtering before use
mesa escritorio madera maciza,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio de madera con cajones,office,500,高,2.47,20.02,review: requires page-role and SERP-intent filtering before use
silla oficina terciopelo,office,50,高,8.57,41.94,review: requires page-role and SERP-intent filtering before use
homecenter sillas oficina,office,500,高,0.65,9.60,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla escritorio piel,office,50,高,12.46,222.13,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
tiendas de muebles para oficina,office,50,高,18.09,260.90,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
silla operativa oficina,office,50,高,17.43,313.08,review: requires page-role and SERP-intent filtering before use
sillas giratorias sin ruedas,office,500,高,4.18,29.70,review: requires page-role and SERP-intent filtering before use
sillas de oficina en coppel,office,50,高,1.85,24.50,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa despacho en l,office,50,低,,,review: requires page-role and SERP-intent filtering before use
sillas espera,office,500,高,5.72,46.52,review: requires page-role and SERP-intent filtering before use
silla ergonómica lambo,office,50,低,,,review: requires page-role and SERP-intent filtering before use
silla para oficina coppel,office,50,高,1.98,23.96,review: requires page-role and SERP-intent filtering before use
sillas operativas para oficina,office,50,高,26.55,775.78,review: requires page-role and SERP-intent filtering before use
silla escritorio segunda mano,office,50,高,1.18,18.72,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mueble bajo oficina,office,50,高,,,review: requires page-role and SERP-intent filtering before use
silla de malla para oficina,office,500,高,13.74,131.54,review: requires page-role and SERP-intent filtering before use
armarios oficina segunda mano,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa auxiliar escritorio,office,500,高,1.96,11.73,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas para home office,office,500,高,3.00,34.39,review: requires page-role and SERP-intent filtering before use
mesa escritorio 180 x 70,office,50,低,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
muebles para recepción de oficina,office,500,高,9.84,137.89,review: requires page-role and SERP-intent filtering before use
sillas herman miller usadas,office,500,中,2.56,19.55,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas de oficina sin brazos,office,50,高,2.20,29.85,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas giratorias baratas,office,500,高,0.79,16.65,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio profesional,office,500,高,7.86,106.50,review: requires page-role and SERP-intent filtering before use
silla de oficina negra,office,500,高,6.42,102.50,review: requires page-role and SERP-intent filtering before use
las mejores sillas de escritorio,office,50,高,5.43,36.85,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla ergonomica rosa,office,500,高,1.78,14.38,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla oficina vintage,office,50,高,3.86,24.81,review: requires page-role and SERP-intent filtering before use
mueble auxiliar oficina,office,50,高,2.67,19.60,review: requires page-role and SERP-intent filtering before use
silla de escritorio alta,office,500,高,2.74,29.29,review: requires page-role and SERP-intent filtering before use
precio de sillas para oficina,office,500,高,4.17,37.05,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa escritorio doble,office,50,高,1.51,7.56,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas ergonomicas para home office,office,50,高,4.44,40.59,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa escritorio con ruedas,office,50,高,1.77,12.52,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
la mejor silla para la espalda,office,50,高,,,review: requires page-role and SERP-intent filtering before use
sillas recepción clínica,office,50,高,4.91,71.27,review: requires page-role and SERP-intent filtering before use
mesas escritorio grandes,office,50,高,2.53,35.06,review: requires page-role and SERP-intent filtering before use
silla escritorio mercado libre,office,500,高,1.77,10.86,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
la mejor silla ergonomica,office,500,高,5.75,33.54,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio para computadora coppel,office,500,高,1.37,18.95,review: requires page-role and SERP-intent filtering before use
escritorios ejecutivos de lujo,office,500,高,11.82,65.85,review: requires page-role and SERP-intent filtering before use
mesas de escritorio a medida,office,50,低,,,review: requires page-role and SERP-intent filtering before use
sillas para computadoras de escritorio,office,50,高,1.70,25.35,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla de oficina mercado libre,office,500,高,7.09,49.26,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla ergonomica oficina blanca,office,50,高,3.17,26.16,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesas de reuniones modernas,office,500,高,5.61,37.47,review: requires page-role and SERP-intent filtering before use
mesas de despacho para casa,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
cajonera oficina blanca,office,50,高,3.81,40.04,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla gris escritorio,office,500,高,2.49,14.34,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
taburetes oficina,office,50,高,11.00,36.52,review: requires page-role and SERP-intent filtering before use
silla oficina walmart,office,500,高,2.99,38.94,review: requires page-role and SERP-intent filtering before use
silla de escritorio infantil,office,500,高,1.11,8.02,review: requires page-role and SERP-intent filtering before use
mesa oficina madera,office,50,高,11.97,63.58,review: requires page-role and SERP-intent filtering before use
mesa para computadora de escritorio,office,500,高,1.32,16.38,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla gerente,office,500,高,4.74,20.85,review: requires page-role and SERP-intent filtering before use
cajonera escritorio barata,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas giratorias de escritorio,office,500,高,1.38,26.11,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas para escritorio sin ruedas,office,500,高,2.23,22.09,review: requires page-role and SERP-intent filtering before use
sillas de escritorio precio,office,500,高,0.82,23.96,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
armario despacho,office,50,高,,,review: requires page-role and SERP-intent filtering before use
mesa para sala de juntas 8 personas,office,50,高,30.54,513.48,review: requires page-role and SERP-intent filtering before use
mesa escritorio roble,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla nora,office,50,高,13.70,29.43,review: requires page-role and SERP-intent filtering before use
ruedas de silla de oficina,office,500,高,0.90,9.34,review: requires page-role and SERP-intent filtering before use
sillas para reuniones,office,500,高,8.10,36.88,review: requires page-role and SERP-intent filtering before use
mesa escritorio para computadora,office,500,高,2.40,21.48,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla de oficina mainstays,office,50,高,2.19,16.94,review: requires page-role and SERP-intent filtering before use
escritorios precios,office,5000,高,0.41,17.34,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas de trabajo para oficina,office,500,高,9.65,307.78,review: requires page-role and SERP-intent filtering before use
mesa oficina con cajonera,office,50,低,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla ergonomica herman miller,office,500,高,3.98,31.41,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas giratorias comedor,office,50,高,2.23,12.85,review: requires page-role and SERP-intent filtering before use
silla escritorio walmart,office,500,高,2.70,25.12,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla giratoria de oficina,office,500,高,1.92,23.96,review: requires page-role and SERP-intent filtering before use
mobiliario coworking,office,50,中,12.87,45.82,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mesa despacho grande,office,50,高,,,review: requires page-role and SERP-intent filtering before use
fabricantes de escritorios para oficina,office,50,高,10.05,86.74,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
sillas para oficinas modernas,office,500,高,5.42,37.28,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa auxiliar oficina,office,500,高,3.06,24.74,review: requires page-role and SERP-intent filtering before use
pm steele catálogo,office,500,高,11.00,45.88,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
silla oficina black friday,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
tiendas de mobiliario de oficina,office,500,中,20.44,425.67,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
silla de malla,office,500,高,6.93,49.18,review: requires page-role and SERP-intent filtering before use
escritorio oficina en casa,office,50,高,2.58,24.60,review: requires page-role and SERP-intent filtering before use
silla para cuarto,office,500,高,1.17,10.35,review: requires page-role and SERP-intent filtering before use
mesa escritorio diseño,office,50,中,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
venta de mobiliario para oficina,office,50,高,21.72,375.65,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
muebles oficina diseño,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
mesa escritorio 120x80,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla de oficina plegable,office,50,高,1.75,72.87,review: requires page-role and SERP-intent filtering before use
fabricantes de mobiliario de oficina,office,50,高,45.87,337.08,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
silla oficina verde,office,50,高,5.28,36.95,review: requires page-role and SERP-intent filtering before use
mesas escritorio modernas,office,50,高,4.12,13.69,review: requires page-role and SERP-intent filtering before use
silla de oficina beige,office,50,高,3.09,51.80,review: requires page-role and SERP-intent filtering before use
true innovations silla de oficina,office,500,高,4.15,72.54,review: requires page-role and SERP-intent filtering before use
escritorio 160 cm,office,500,高,2.56,16.27,review: requires page-role and SERP-intent filtering before use
archivero con ruedas,office,50,高,2.87,36.81,review: requires page-role and SERP-intent filtering before use
steelcase silla oficina,office,50,高,4.47,40.46,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios blancos modernos,office,500,高,2.09,19.36,review: requires page-role and SERP-intent filtering before use
mesa de escritorio pequeña,office,500,高,0.84,9.82,review: requires page-role and SERP-intent filtering before use
silla de oficina gris,office,500,高,4.31,52.98,review: requires page-role and SERP-intent filtering before use
silla escritorio fija,office,500,高,2.97,27.00,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla de escritorio ejecutiva,office,500,高,5.48,55.03,review: requires page-role and SERP-intent filtering before use
escritorio de oficina ejecutivo,office,500,高,11.38,206.96,review: requires page-role and SERP-intent filtering before use
silla escritorio gris y blanca,office,50,低,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla ejecutiva piel,office,50,高,21.61,203.87,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio en u,office,500,高,4.68,39.34,review: requires page-role and SERP-intent filtering before use
archiveros para oficina economicos,office,500,高,7.71,73.53,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa redonda para oficina,office,500,高,9.57,99.65,review: requires page-role and SERP-intent filtering before use
sillon ejecutivo gerencial,office,50,高,1.38,18.43,review: requires page-role and SERP-intent filtering before use
escritorio funcional,office,500,高,1.61,12.90,review: requires page-role and SERP-intent filtering before use
mejores sillas de oficina calidad precio,office,50,高,8.77,51.25,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas office max,office,500,高,1.64,31.46,review: requires page-role and SERP-intent filtering before use
silla mfavour,office,50,中,,,review: requires page-role and SERP-intent filtering before use
silla escritorio amarilla,office,50,高,1.61,16.97,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa oficina 120x80,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios modernos para oficina pequeña,office,50,高,3.27,27.00,review: requires page-role and SERP-intent filtering before use
silla escritorio ejecutiva,office,500,高,3.65,26.08,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
falabella sillas de escritorio,office,500,高,1.08,9.89,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla ejecutiva walmart,office,50,高,4.12,34.19,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla vitra oficina,office,50,高,9.75,34.93,review: requires page-role and SERP-intent filtering before use
sillas de oficina makro,office,50,未知,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio blanco minimalista,office,500,高,3.83,23.96,review: requires page-role and SERP-intent filtering before use
silla escritorio makro,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio comifort,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
archiveros de metal para oficina,office,50,高,15.97,445.56,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas de escritorio promart,office,5000,高,0.34,3.72,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla oficina ejecutiva,office,50,高,6.44,77.40,review: requires page-role and SERP-intent filtering before use
silla negra escritorio,office,500,高,2.03,59.32,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
cajonera con llave para oficina,office,500,高,3.22,49.28,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
tiendas de sillas de oficina,office,50,中,9.52,59.18,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
archivero madera,office,500,高,10.01,243.72,review: requires page-role and SERP-intent filtering before use
silla secretarial walmart,office,50,高,3.69,30.26,review: requires page-role and SERP-intent filtering before use
escritorio gamer sodimac,office,500,高,0.33,6.07,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios baratos y bonitos,office,500,高,1.41,16.29,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla ejecutiva oficina,office,500,高,6.06,96.25,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
muebles de escritorio para oficina,office,500,高,2.85,31.37,review: requires page-role and SERP-intent filtering before use
sillas de visita oficina,office,50,高,15.45,307.86,review: requires page-role and SERP-intent filtering before use
sillas de oficina altas con ruedas,office,50,高,8.62,66.45,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa recepcion oficina,office,50,中,15.84,66.17,review: requires page-role and SERP-intent filtering before use
mesa escritorio estrecha,office,50,高,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorios grandes para oficina,office,500,高,5.64,51.44,review: requires page-role and SERP-intent filtering before use
escritorio en l grande,office,500,高,2.62,29.12,review: requires page-role and SERP-intent filtering before use
mesas para sala de juntas modernas,office,50,高,11.37,176.53,review: requires page-role and SERP-intent filtering before use
sillon oficina ejecutivo,office,500,高,8.05,60.15,review: requires page-role and SERP-intent filtering before use
mesa estudio blanca,office,50,高,,,review: requires page-role and SERP-intent filtering before use
silla ejecutiva masajeadora,office,500,高,6.29,36.70,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas operativas de oficina,office,50,高,6.10,24.80,review: requires page-role and SERP-intent filtering before use
sillas de escritorio economicas,office,500,高,2.04,23.92,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
muebles de oficina online,office,50,低,,,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
escritorios para ordenador,office,50,高,1.02,14.73,review: requires page-role and SERP-intent filtering before use
silla oficina fija,office,50,高,5.12,55.26,review: requires page-role and SERP-intent filtering before use
silla de escritorio negra,office,500,高,1.55,23.68,review: requires page-role and SERP-intent filtering before use
sillas de escritorio para niñas,office,500,高,0.60,7.12,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla direccion,office,50,中,19.66,617.51,review: requires page-role and SERP-intent filtering before use
escritorio en l cristal,office,50,高,3.28,17.19,review: requires page-role and SERP-intent filtering before use
office muebles,office,50,中,23.60,129.97,review: requires page-role and SERP-intent filtering before use
sillon pc,office,50,高,1.63,14.44,review: requires page-role and SERP-intent filtering before use
sillas de oficina baratas segunda mano,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla escritorio bonita,office,50,高,2.29,12.35,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
muebles para sala de espera,office,500,高,5.04,36.77,review: requires page-role and SERP-intent filtering before use
mesas recepcion,office,500,高,7.86,138.99,review: requires page-role and SERP-intent filtering before use
silla ergonómica blanca,office,500,高,2.60,26.01,review: requires page-role and SERP-intent filtering before use
silla oficina brazos abatibles,office,50,高,3.30,12.63,review: requires page-role and SERP-intent filtering before use
mesa escritorio pc,office,500,高,0.67,5.52,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
outlet sillas de escritorio,office,50,高,4.93,14.34,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla pc ergonomica,office,500,高,3.03,14.27,review: requires page-role and SERP-intent filtering before use
sillas trabajo ergonomicas,office,50,高,5.40,28.01,review: requires page-role and SERP-intent filtering before use
mesa de escritorio en l,office,50,高,1.01,28.33,review: requires page-role and SERP-intent filtering before use
escritorios metalicos para oficina,office,500,高,4.90,69.22,review: requires page-role and SERP-intent filtering before use
amazon silla ergonomica,office,500,高,2.88,18.72,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas de oficina elevables,office,50,高,,,review: requires page-role and SERP-intent filtering before use
silla ergonomica barata,office,500,高,2.06,23.17,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas de escritorio oficina,office,500,高,3.34,38.96,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
